drug_name	status	ptr_approved
Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd)	n	
Dosulepin 25mg capsules (Actavis UK Ltd)	n	
Dosulepin 25mg capsules (Almus Pharmaceuticals Ltd)	n	
Dosulepin 25mg capsules (Mylan Ltd)	n	
Dosulepin 25mg capsules (Sandoz Ltd)	n	
Dosulepin 25mg capsules (Sovereign Medical Ltd)	n	
Dosulepin 25mg capsules (Teva UK Ltd)	n	
Dosulepin 25mg/5ml oral solution	n	
Dosulepin 25mg/5ml oral suspension	n	
Dosulepin 75mg tablets	n	
Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd)	n	
Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd)	n	
Dosulepin 75mg tablets (Sandoz Ltd)	n	
Dosulepin 75mg tablets (Sovereign Medical Ltd)	n	
Dosulepin 75mg tablets (Teva UK Ltd)	n	
Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd)	n	
Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd)	n	
Doxepin 10mg capsules	n	
Doxepin 25mg capsules	n	
Doxepin 50mg capsules	n	
Doxepin 75mg capsules	n	
Dromadol SR 100mg tablets (Teva UK Ltd)	y	yes_approved
Dromadol SR 150mg tablets (Teva UK Ltd)	y	yes_approved
Dromadol SR 200mg tablets (Teva UK Ltd)	y	yes_approved
Duloxetine 20mg gastro-resistant capsules	y	
Duloxetine 30mg gastro-resistant capsules	y	
Duloxetine 60mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)	y	
Durogesic 100micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Durogesic 25micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Durogesic 50micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Durogesic DTrans 100micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Durogesic DTrans 12micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Durogesic DTrans 25micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Durogesic DTrans 50micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Durogesic DTrans 75micrograms transdermal patches (Janssen-Cilag Ltd)	y	yes_approved
Dutonin 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	n	
Dutonin 200mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	n	
Dutonin tablets treatment initiation pack (Bristol-Myers Squibb Pharmaceuticals Ltd)	n	
Dysman 500 tablets (Ashbourne Pharmaceuticals Ltd)	y	yes_approved
EQUAGESIC tablets [WYETH PHAR]	y	yes_approved
Eccoxolac 300mg capsules (Meda Pharmaceuticals Ltd)	y	yes_approved
Edronax 4mg tablets (Pfizer Ltd)	n	
Efexor 37.5mg tablets (Wyeth Pharmaceuticals)	y	
Efexor 50mg tablets (Wyeth Pharmaceuticals)	y	
Efexor 75mg tablets (Wyeth Pharmaceuticals)	y	
Efexor XL 150mg capsules (Pfizer Ltd)	y	
Efexor XL 75mg capsules (Pfizer Ltd)	y	
Effentora 100microgram buccal tablets (Teva UK Ltd)	y	yes_approved
Eletriptan 20mg tablets	n	
Eletriptan 40mg tablets	n	
Emflex 60mg capsules (Merck Serono Ltd)	y	yes_approved
Epanutin 100mg capsules (Pfizer Ltd)	n	
Epanutin 25mg capsules (Pfizer Ltd)	n	
Epanutin 300mg capsules (Pfizer Ltd)	n	
Epanutin 30mg/5ml oral suspension (Pfizer Ltd)	n	
Epanutin 50mg capsules (Pfizer Ltd)	n	
Epanutin Infatabs 50mg chewable tablets (Pfizer Ltd)	n	
Epilim 200 gastro-resistant tablets (Sanofi)	n	
Epilim Chrono 300 tablets (Sanofi)	n	
Epilim Chronosphere MR 100mg granules sachets (Sanofi)	n	
Epilim Chronosphere MR 50mg granules sachets (Sanofi)	n	
Epilim Intravenous 400mg powder and solvent for solution for injection vials (Sanofi)	n	
Episenta 150mg modified-release capsules (Desitin Pharma Ltd)	n	
Ergotamine 1mg / Caffeine 100mg tablets	n	
Ergotamine tartrate 2mg / Caffeine 100mg suppositories	n	
Eslicarbazepine 800mg tablets	n	
Ethosuximide 250mg capsules	n	
Ethosuximide 250mg/5ml oral solution	n	
Etodolac 200mg capsules	y	yes_approved
Etodolac 300mg capsules	y	yes_approved
Etodolac 600mg modified-release tablets	y	yes_approved
Etodolac 600mg modified-release tablets (Zentiva)	y	yes_approved
Etoricoxib 120mg tablets	y	yes_approved
Etoricoxib 30mg tablets	y	yes_approved
Etoricoxib 60mg tablets	y	yes_approved
Etoricoxib 90mg tablets	y	yes_approved
FELDENE melt tablets 20mg [PFIZER]	y	yes_approved
FELDENE sports gel 0.5% [PFIZER]	n	
FENTANYL patch 100micrograms/hour [SANDOZ]	y	yes_approved
FENTANYL patch 12micrograms/hour [HILLCROSS]	y	yes_approved
FENTANYL patch 25micrograms/hour [SANDOZ]	y	yes_approved
FENTANYL patch 50micrograms/hour [SANDOZ]	y	yes_approved
FENTANYL patch 75micrograms/hour [SANDOZ]	y	yes_approved
FLAMRASE SR tablets 75mg [APS BERK]	y	yes_approved
FORTRAL capsules 50mg [SANOFI S]	y	yes_approved
FROBEN SR capsules 200mg [ABBOTT]	y	yes_approved
Felbinac 3% gel	n	
Felbinac 3.17% foam	n	
Feldene 0.5% gel (Pfizer Ltd)	n	
Feldene 10mg capsules (Pfizer Ltd)	y	yes_approved
Feldene 10mg dispersible tablets (Pfizer Ltd)	y	yes_approved
Feldene 20 capsules (Pfizer Ltd)	y	yes_approved
Feldene 20mg dispersible tablets (Pfizer Ltd)	y	yes_approved
Feldene Melt 20mg tablets (Pfizer Ltd)	y	yes_approved
Feldene P 0.5% gel (Pfizer Ltd)	n	
Fenbid 300mg Spansules (Mercury Pharma Group Ltd)	y	yes_approved
Fenbid 5% gel (AMCo)	n	
Fenbid Forte 10% gel (AMCo)	n	
Fenbufen 300mg capsules	y	yes_approved
Fenbufen 300mg tablets	y	yes_approved
Fenbufen 450mg tablets	y	yes_approved
Fencino 100micrograms/hour transdermal patches (DB Ashbourne Ltd)	y	yes_approved
Fencino 12micrograms/hour transdermal patches (DB Ashbourne Ltd)	y	yes_approved
Fencino 25micrograms/hour transdermal patches (DB Ashbourne Ltd)	y	yes_approved
Fencino 50micrograms/hour transdermal patches (DB Ashbourne Ltd)	y	yes_approved
Fencino 75micrograms/hour transdermal patches (DB Ashbourne Ltd)	y	yes_approved
Fenoprofen 300mg tablets	y	yes_approved
Fenoprofen 600mg tablets	y	yes_approved
Fenopron 300 tablets (Typharm Ltd)	y	yes_approved
Fenopron 600 tablets (Typharm Ltd)	y	yes_approved
Fentalis Reservoir 100micrograms/hour transdermal patches (Sandoz Ltd)	y	yes_approved
Fentalis Reservoir 25micrograms/hour transdermal patches (Sandoz Ltd)	y	yes_approved
Fentalis Reservoir 50micrograms/hour transdermal patches (Sandoz Ltd)	y	yes_approved
Fentalis Reservoir 75micrograms/hour transdermal patches (Sandoz Ltd)	y	yes_approved
Fentanyl 1.2mg lozenges	y	yes_approved
Fentanyl 1.6mg lozenges	y	yes_approved
Fentanyl 100microgram buccal tablets sugar free	y	yes_approved
Fentanyl 100microgram sublingual tablets sugar free	y	yes_approved
Fentanyl 100micrograms/hour transdermal patches	y	yes_approved
Fentanyl 100micrograms/hour transdermal patches (A A H Pharmaceuticals Ltd)	y	yes_approved
Fentanyl 100micrograms/hour transdermal patches (Actavis UK Ltd)	y	yes_approved
Fentanyl 12micrograms/hour transdermal patches	y	yes_approved
Fentanyl 200microgram buccal films sugar free	y	yes_approved
Fentanyl 200microgram buccal tablets sugar free	y	yes_approved
Fentanyl 200microgram lozenges	y	yes_approved
Fentanyl 200microgram sublingual tablets sugar free	y	yes_approved
Fentanyl 25micrograms/hour transdermal patches	y	yes_approved
Fentanyl 25micrograms/hour transdermal patches (A A H Pharmaceuticals Ltd)	y	yes_approved
Fentanyl 25micrograms/hour transdermal patches (Actavis UK Ltd)	y	yes_approved
Fentanyl 300microgram sublingual tablets sugar free	y	yes_approved
Fentanyl 37.5microgram/hour transdermal patches	y	yes_approved
Fentanyl 400microgram buccal tablets sugar free	y	yes_approved
Fentanyl 400microgram lozenges	y	yes_approved
Fentanyl 400microgram sublingual tablets sugar free	y	yes_approved
Fentanyl 400micrograms/dose nasal spray	y	yes_approved
Fentanyl 50micrograms/dose nasal spray	y	yes_approved
Fentanyl 50micrograms/hour transdermal patches	y	yes_approved
Fentanyl 50micrograms/hour transdermal patches (A A H Pharmaceuticals Ltd)	y	yes_approved
Fentanyl 50micrograms/hour transdermal patches (Actavis UK Ltd)	y	yes_approved
Fentanyl 600microgram buccal tablets sugar free	y	yes_approved
Fentanyl 600microgram lozenges	y	yes_approved
Fentanyl 75micrograms/hour transdermal patches	y	yes_approved
Fentanyl 75micrograms/hour transdermal patches (A A H Pharmaceuticals Ltd)	y	yes_approved
Fentanyl 75micrograms/hour transdermal patches (Actavis UK Ltd)	y	yes_approved
Fentanyl 800microgram lozenges	y	yes_approved
Filnarine SR 100mg tablets (Teva UK Ltd)	y	yes_approved
Filnarine SR 10mg tablets (Teva UK Ltd)	y	yes_approved
Filnarine SR 30mg tablets (Teva UK Ltd)	y	yes_approved
Filnarine SR 60mg tablets (Teva UK Ltd)	y	yes_approved
Flamrase 25 EC tablets (Teva UK Ltd)	y	yes_approved
Fluanxol 1mg tablets (Lundbeck Ltd)	n	
Fluanxol 500microgram tablets (Lundbeck Ltd)	n	
Flunarizine 5mg capsules	n	
Flupentixol 1mg tablets	n	
Flupentixol 500microgram tablets	n	
Flurbiprofen 100mg tablets	y	yes_approved
Flurbiprofen 200mg modified-release capsules	y	yes_approved
Flurbiprofen 50mg tablets	y	yes_approved
Flurbiprofen 8.75mg lozenges	y	yes_approved
Froben 100mg suppositories (Abbott Laboratories Ltd)	y	yes_approved
Froben 100mg tablets (Abbott Laboratories Ltd)	y	yes_approved
Froben 50mg tablets (Abbott Laboratories Ltd)	y	yes_approved
Froben SR 200mg capsules (Abbott Laboratories Ltd)	y	yes_approved
Frovatriptan 2.5mg tablets	n	
Fycompa 2mg tablets (Eisai Ltd)	n	
Fycompa 4mg tablets (Eisai Ltd)	n	
Fycompa 6mg tablets (Eisai Ltd)	n	
GABAPENTIN oral solution 250mg/5ml [BCM]	y	
Gabapentin 100mg capsules	y	
Gabapentin 100mg capsules (A A H Pharmaceuticals Ltd)	y	
Gabapentin 100mg capsules (Actavis UK Ltd)	y	
Gabapentin 100mg capsules (Almus Pharmaceuticals Ltd)	y	
Gabapentin 100mg capsules (Mylan Ltd)	y	
Gabapentin 100mg capsules (Sandoz Ltd)	y	
Gabapentin 100mg capsules (Teva UK Ltd)	y	
Gabapentin 100mg capsules (Wockhardt UK Ltd)	y	
Gabapentin 250mg/5ml oral solution	y	
Gabapentin 250mg/5ml oral suspension	y	
Gabapentin 300mg capsules	y	
Gabapentin 300mg capsules (A A H Pharmaceuticals Ltd)	y	
Gabapentin 300mg capsules (Actavis UK Ltd)	y	
Gabapentin 300mg capsules (Almus Pharmaceuticals Ltd)	y	
Gabapentin 300mg capsules (Mylan Ltd)	y	
Gabapentin 300mg capsules (Sandoz Ltd)	y	
Gabapentin 300mg capsules (Teva UK Ltd)	y	
Gabapentin 400mg capsules	y	
Gabapentin 400mg capsules (Mylan Ltd)	y	
Gabapentin 400mg capsules (Sandoz Ltd)	y	
Gabapentin 400mg capsules (Teva UK Ltd)	y	
Gabapentin 400mg/5ml oral suspension	y	
Gabapentin 50mg/ml oral solution sugar free	y	
Gabapentin 50mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)	y	
Gabapentin 600mg tablets	y	
Gabapentin 600mg tablets (A A H Pharmaceuticals Ltd)	y	
Gabapentin 600mg tablets (Actavis UK Ltd)	y	
Gabapentin 600mg tablets (Teva UK Ltd)	y	
Gabapentin 600mg tablets and Gabapentin 300mg capsules	y	
Gabapentin 800mg tablets	y	
Gabapentin 800mg tablets (A A H Pharmaceuticals Ltd)	y	
Gabapentin 800mg tablets (Actavis UK Ltd)	y	
Gabapentin 800mg tablets (Teva UK Ltd)	y	
Galcodine 15mg/5ml linctus (Thornton & Ross Ltd)	n	
Gamanil 70mg tablets (Merck Serono Ltd)	n	
HALF-BETADUR CR capsules 80mg [MONMOUTH]	n	
Half Beta-Prograne 80mg modified-release capsules (Tillomed Laboratories Ltd)	n	
Half Inderal LA 80mg capsules (AstraZeneca UK Ltd)	n	
Hapoctasin 52.5micrograms/hour transdermal patches (Actavis UK Ltd)	y	yes_approved
Hapoctasin 70micrograms/hour transdermal patches (Actavis UK Ltd)	y	yes_approved
Hydromorphone 1.3mg capsules	y	yes_approved
Hydromorphone 16mg modified-release capsules	y	yes_approved
Hydromorphone 2.6mg capsules	y	yes_approved
Hydromorphone 24mg modified-release capsules	y	yes_approved
Hydromorphone 2mg modified-release capsules	y	yes_approved
Hydromorphone 4mg modified-release capsules	y	yes_approved
Hydromorphone 8mg modified-release capsules	y	yes_approved
Hydroxyethyl salicylate 6% / Methyl nicotinate 1.6% spray	n	
IBUPROFEN liquid capsules 400mg [DEXCEL]	y	yes_approved
IBUPROFEN oral suspension 100mg/5ml [NEOLAB]	y	yes_approved
IBUPROFEN tablets 400mg [CP PHARM]	y	yes_approved
IBUPROFEN tablets 400mg [NUCARE]	y	yes_approved
IBUPROFEN tablets 400mg [T & R]	y	yes_approved
IBUPROFEN tablets 600mg [SOVEREIGN]	y	yes_approved
IMBRILON capsules 25mg [BERK]	y	yes_approved
IMIGRAN SUBJECT subcutaneous injection 6mg/syringe [GLAXSK PHA]	n	
INDOMAX capsules 25mg [ASHBOURNE]	y	yes_approved
Ibugel 5% gel (Dermal Laboratories Ltd)	n	
Ibugel Forte 10% gel (Dermal Laboratories Ltd)	n	
Ibuleve 5% Mousse (Dendron Ltd)	n	
Ibuleve 5% gel (Dendron Ltd)	n	
Ibuleve 5% spray (Dendron Ltd)	n	
Ibuleve Maximum Strength 10% gel (Dendron Ltd)	n	
Ibuleve Speed Relief 5% gel (Dendron Ltd)	n	
Ibuleve Speed Relief 5% spray (Dendron Ltd)	n	
Ibuleve Speed Relief Max Strength 10% gel (Dendron Ltd)	n	
Ibuleve Sports 5% gel (Dendron Ltd)	n	
Ibumousse 5% (Dermal Laboratories Ltd)	n	
Ibuprofen 10% gel	n	
Ibuprofen 10% gel (A A H Pharmaceuticals Ltd)	n	
Ibuprofen 10% gel (Thornton & Ross Ltd)	n	
Ibuprofen 100mg/5ml oral suspension	y	yes_approved
Ibuprofen 100mg/5ml oral suspension sugar free	y	yes_approved
Ibuprofen 100mg/5ml oral suspension sugar free (Sandoz Ltd)	y	yes_approved
Ibuprofen 100mg/5ml oral suspension sugar free (Teva UK Ltd)	y	yes_approved
Ibuprofen 200mg / Codeine 12.8mg tablets	y	yes_approved
Ibuprofen 200mg / Pseudoephedrine hydrochloride 30mg tablets	n	
Ibuprofen 200mg caplets (Wockhardt UK Ltd)	y	yes_approved
Ibuprofen 200mg capsules	y	yes_approved
Ibuprofen 200mg effervescent tablets	y	yes_approved
Ibuprofen 200mg modified-release capsules	y	yes_approved
Ibuprofen 200mg orodispersible tablets sugar free	y	yes_approved
Ibuprofen 200mg tablets	y	yes_approved
Ibuprofen 200mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 200mg tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 200mg tablets (Boston Healthcare Ltd)	y	yes_approved
Ibuprofen 200mg tablets (Galpharm International Ltd)	y	yes_approved
Ibuprofen 200mg tablets (Ranbaxy (UK) Ltd)	y	yes_approved
Ibuprofen 200mg tablets (Sandoz Ltd)	y	yes_approved
Ibuprofen 200mg tablets (Thornton & Ross Ltd)	y	yes_approved
Ibuprofen 200mg tablets (Vantage)	y	yes_approved
Ibuprofen 200mg tablets (Wockhardt UK Ltd)	y	yes_approved
Ibuprofen 200mg tablets film coated (Actavis UK Ltd)	y	yes_approved
Ibuprofen 300mg modified-release / Codeine 20mg tablets	y	yes_approved
Ibuprofen 300mg modified-release capsules	y	yes_approved
Ibuprofen 400mg capsules	y	yes_approved
Ibuprofen 400mg tablets	y	yes_approved
Ibuprofen 400mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 400mg tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 400mg tablets (Aspar Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 400mg tablets (Boston Healthcare Ltd)	y	yes_approved
Ibuprofen 400mg tablets (Galpharm International Ltd)	y	yes_approved
Ibuprofen 400mg tablets (IVAX Pharmaceuticals UK Ltd)	y	yes_approved
Ibuprofen 400mg tablets (Kent Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 400mg tablets (Ranbaxy (UK) Ltd)	y	yes_approved
Ibuprofen 400mg tablets (Vantage)	y	yes_approved
Ibuprofen 400mg tablets (Wockhardt UK Ltd)	y	yes_approved
Ibuprofen 400mg tablets film coated (Actavis UK Ltd)	y	yes_approved
Ibuprofen 400mg tablets sugar coated (Actavis UK Ltd)	y	yes_approved
Ibuprofen 5% / Levomenthol 3% gel	n	
Ibuprofen 5% cream	n	
Ibuprofen 5% foam	n	
Ibuprofen 5% gel	n	
Ibuprofen 5% gel (A A H Pharmaceuticals Ltd)	n	
Ibuprofen 5% gel (Galpharm International Ltd)	n	
Ibuprofen 5% gel (Thornton & Ross Ltd)	n	
Ibuprofen 5% spray	y	
Ibuprofen 600mg effervescent granules sachets	y	yes_approved
Ibuprofen 600mg tablets	y	yes_approved
Ibuprofen 600mg tablets (A A H Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 600mg tablets (Almus Pharmaceuticals Ltd)	y	yes_approved
Ibuprofen 600mg tablets (Boston Healthcare Ltd)	y	yes_approved
Ibuprofen 600mg tablets (Fannin UK Ltd)	y	yes_approved
Ibuprofen 600mg tablets (IVAX Pharmaceuticals UK Ltd)	y	yes_approved
Ibuprofen 600mg tablets (Ranbaxy (UK) Ltd)	y	yes_approved
Ibuprofen 600mg tablets (Sandoz Ltd)	y	yes_approved
Ibuprofen 800mg modified-release tablets	y	yes_approved
Ibuprofen 800mg tablets	y	yes_approved
Ibuprofen lysine 200mg tablets	y	yes_approved
Ibuprofen lysine 400mg tablets	y	yes_approved
Ibuprofen sodium dihydrate 200mg tablets	y	yes_approved
Ibuprofen sodium dihydrate 400mg tablets	y	yes_approved
Ibuspray 5% spray (Dermal Laboratories Ltd)	n	
Ibutop Ralgex Ibuprofen 5% gel (SSL International Plc)	n	
Imigran 100mg tablets (GlaxoSmithKline UK Ltd)	n	
Imigran 10mg nasal spray (GlaxoSmithKline UK Ltd)	n	
Imigran 20mg nasal spray (GlaxoSmithKline UK Ltd)	n	
Imigran 50mg tablets (GlaxoSmithKline UK Ltd)	n	
Imigran Radis 100mg tablets (GlaxoSmithKline UK Ltd)	n	
Imigran Radis 50mg tablets (GlaxoSmithKline UK Ltd)	n	
Imigran Recovery 50mg tablets (Forest Laboratories UK Ltd)	n	
Imigran Subject 6mg/0.5ml solution for injection pre-filled syringes with device (GlaxoSmithKline UK Ltd)	n	
Imigran Subject 6mg/0.5ml solution for injection syringe refill pack (GlaxoSmithKline UK Ltd)	n	
Imipramine 10mg tablets (A A H Pharmaceuticals Ltd)	n	
Imipramine 10mg tablets (Actavis UK Ltd)	n	
Imipramine 25mg tablets	n	
Imipramine 25mg tablets (Actavis UK Ltd)	n	
Inderal LA 160mg capsules (AstraZeneca UK Ltd)	n	
Indocid 25mg capsules (Merck Sharp & Dohme Ltd)	y	yes_approved
Indocid R 75mg capsules (Merck Sharp & Dohme Ltd)	y	yes_approved
Indolar SR 75mg capsules (Sandoz Ltd)	y	yes_approved
Indometacin 100mg suppositories	y	yes_approved
Indometacin 100mg suppositories (A A H Pharmaceuticals Ltd)	y	yes_approved
Indometacin 100mg suppositories (Actavis UK Ltd)	y	yes_approved
Indometacin 25mg capsules	y	yes_approved
Indometacin 25mg modified-release tablets	y	yes_approved
Indometacin 50mg modified-release tablets	y	yes_approved
Indometacin 75mg modified-release capsules (A A H Pharmaceuticals Ltd)	y	yes_approved
Indomod 25mg modified-release capsules (Pfizer Ltd)	y	yes_approved
Instanyl 50micrograms/dose nasal spray (Takeda UK Ltd)	n	
Instillagel gel (CliniMed Ltd)	n	
Intralgin gel (3M Health Care Ltd)	n	
KETAMINE oral solution 100mg/5ml [MARTINDALE]	y	
KETOPROFEN CR capsules 200mg [BMS]	y	yes_approved
KETOPROFEN gel 2.5% [WOCKHARDT]	n	
Kaolin poultices	n	
Kapake 15mg/500mg tablets (Galen Ltd)	y	yes_approved
Kapake 30mg/500mg capsules (Galen Ltd)	y	yes_approved
Kapake 30mg/500mg effervescent tablets (Galen Ltd)	y	yes_approved
Kapake 30mg/500mg tablets (Galen Ltd)	y	yes_approved
Kapake Insts 30mg/500mg effervescent powder sachets (Galen Ltd)	y	yes_approved
Keppra 100mg/ml oral solution (UCB Pharma Ltd)	n	
Keppra 1g tablets (UCB Pharma Ltd)	n	
Keppra 250mg tablets (UCB Pharma Ltd)	n	
Keppra 500mg tablets (UCB Pharma Ltd)	n	
Keppra 500mg/5ml concentrate for solution for infusion vials (UCB Pharma Ltd)	n	
Keppra 750mg tablets (UCB Pharma Ltd)	n	
Keral 25mg tablets (A. Menarini Farmaceutica Internazionale SRL)	y	yes_approved
Ketamine 100mg/5ml oral solution	y	
Ketamine 1g/10ml solution for injection vials	y	
Ketamine 200mg/20ml solution for injection vials	y	
Ketamine 500mg/10ml solution for injection vials	y	
Ketamine 50mg/5ml oral solution	y	
Ketamine 50mg/5ml oral suspension	y	
Ketocid 200 modified-release capsules (Chiesi Ltd)	y	yes_approved
Ketoprofen 100mg capsules	y	yes_approved
Ketoprofen 100mg/2ml solution for injection ampoules	y	yes_approved
Ketoprofen 150mg modified-release capsules	y	yes_approved
Ketoprofen 2.5% gel	n	
Ketoprofen 2.5% gel (A A H Pharmaceuticals Ltd)	n	
Ketoprofen 2.5% gel (Almus Pharmaceuticals Ltd)	n	
Ketoprofen 2.5% gel (PLIVA Pharma Ltd)	n	
Ketoprofen 2.5% gel (Pinewood Healthcare)	n	
Ketoprofen 2.5% gel (Teva UK Ltd)	n	
Ketoprofen 200mg modified-release capsules	y	yes_approved
Ketoprofen 50mg capsules	y	yes_approved
Ketorolac 10mg tablets	y	yes_approved
Ketorolac 10mg/1ml solution for injection ampoules	y	yes_approved
Ketorolac 30mg/1ml solution for injection ampoules	y	yes_approved
LEDERFEN F tablets 450mg [WYETH PHAR]	y	yes_approved
LEDERFEN capsules 300mg [WYETH PHAR]	y	yes_approved
LEDERFEN tablets 300mg [WYETH PHAR]	y	yes_approved
LEDERFEN tablets 450mg [WYETH PHAR]	y	yes_approved
LIDOCAINE HYDROCHLORIDE injection 1% [AMCO]	n	
LIDOCAINE HYDROCHLORIDE injection 1% [MERCURY]	n	
LIDOCAINE HYDROCHLORIDE injection 2% [AMCO]	n	
LIDOCAINE HYDROCHLORIDE injection 2% [MERCURY]	n	
LIDOCAINE injection 1% [PHOENIX]	n	
LIGNOSTAB injection 2% w/v [ASTRAZENEC]	n	
LINGRAINE sublingual tablets 2mg [SANOFI S]	n	
LMX4 cream 4% [FERNDALE]	n	
LODINE SR tablets 600mg [SHIRE]	y	yes_approved
LODINE capsules 200mg [SHIRE]	y	yes_approved
LODINE capsules 300mg [SHIRE]	y	yes_approved
LODINE tablets 200mg [SHIRE]	y	yes_approved
LOFEPRAMINE tablets 70mg [TEVA]	n	
Lacosamide 100mg tablets	n	
Lacosamide 150mg tablets	n	
Lacosamide 200mg tablets	n	
Lacosamide 50mg tablets	n	
Lamictal 100mg dispersible tablets (GlaxoSmithKline UK Ltd)	n	
Lamictal 100mg tablets (GlaxoSmithKline UK Ltd)	n	
Lamictal 200mg tablets (GlaxoSmithKline UK Ltd)	n	
Lamictal 25mg dispersible tablets (GlaxoSmithKline UK Ltd)	n	
Lamictal 25mg tablets (GlaxoSmithKline UK Ltd)	n	
Lamictal 50mg tablets (GlaxoSmithKline UK Ltd)	n	
Lamotrigine 100mg dispersible tablets sugar free	n	
Lamotrigine 100mg tablets	n	
Lamotrigine 100mg tablets (Actavis UK Ltd)	n	
Lamotrigine 200mg tablets	n	
Lamotrigine 200mg tablets (Actavis UK Ltd)	n	
Lamotrigine 200mg tablets (Consilient Health Ltd)	n	
Lamotrigine 200mg tablets (Teva UK Ltd)	n	
Lamotrigine 25mg dispersible tablets sugar free	n	
Lamotrigine 25mg tablets	n	
Lamotrigine 25mg tablets (A A H Pharmaceuticals Ltd)	n	
Lamotrigine 25mg tablets (Actavis UK Ltd)	n	
Lamotrigine 25mg tablets (Arrow Generics Ltd)	n	
Lamotrigine 25mg tablets (Teva UK Ltd)	n	
Lamotrigine 2mg dispersible tablets sugar free	n	
Lamotrigine 50mg dispersible tablets sugar free	n	
Lamotrigine 50mg tablets	n	
Lamotrigine 50mg tablets (Actavis UK Ltd)	n	
Lamotrigine 50mg tablets (Arrow Generics Ltd)	n	
Lamotrigine 50mg tablets (Teva UK Ltd)	n	
Lamotrigine 5mg dispersible tablets sugar free	n	
Lamotrigine 5mg dispersible tablets sugar free (Actavis UK Ltd)	n	
Lamotrigine 5mg dispersible tablets sugar free (Teva UK Ltd)	n	
Lederfen 300mg capsules (Mercury Pharma Group Ltd)	y	yes_approved
Lederfen 300mg tablets (Mercury Pharma Group Ltd)	y	yes_approved
Lederfen 450mg tablets (Mercury Pharma Group Ltd)	y	yes_approved
Lentizol 25mg modified-release capsules (Pfizer Ltd)	y	
Levetiracetam 100mg/ml oral solution sugar free	n	
Levetiracetam 100mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)	n	
Levetiracetam 100mg/ml oral solution sugar free (Actavis UK Ltd)	n	
Levetiracetam 1g tablets	n	
Levetiracetam 1g tablets (A A H Pharmaceuticals Ltd)	n	
Levetiracetam 1g tablets (Actavis UK Ltd)	n	
Levetiracetam 250mg granules sachets sugar free	n	
Levetiracetam 250mg tablets	n	
Levetiracetam 250mg tablets (A A H Pharmaceuticals Ltd)	n	
Levetiracetam 250mg tablets (Actavis UK Ltd)	n	
Levetiracetam 250mg tablets (Teva UK Ltd)	n	
Levetiracetam 250mg tablets (Wockhardt UK Ltd)	n	
Levetiracetam 500mg tablets	n	
Levetiracetam 500mg tablets (A A H Pharmaceuticals Ltd)	n	
Levetiracetam 500mg tablets (Actavis UK Ltd)	n	
Levetiracetam 500mg tablets (Teva UK Ltd)	n	
Levetiracetam 750mg tablets	n	
Levetiracetam 750mg tablets (A A H Pharmaceuticals Ltd)	n	
Levomenthol sticks	n	
Lidocaine 1% and Chlorhexidine gel	n	
Lidocaine 10% spray sugar free	n	
Lidocaine 100mg/10ml (1%) solution for injection Sure-Amp ampoules (AMCo)	n	
Lidocaine 100mg/10ml (1%) solution for injection ampoules (AMCo)	n	
Lidocaine 100mg/10ml (1%) solution for injection pre-filled syringes (Martindale Pharmaceuticals Ltd)	n	
Lidocaine 100mg/20ml (0.5%) / Adrenaline (base) 100micrograms/20ml (1 in 200,000) solution for injection vials	n	
Lidocaine 100mg/5ml (2%) solution for injection Sure-Amp ampoules (AMCo)	n	
Lidocaine 100mg/5ml (2%) solution for injection ampoules (AMCo)	n	
Lidocaine 100mg/5ml (2%) solution for injection pre-filled syringes (Martindale Pharmaceuticals Ltd)	n	
Lidocaine 2% and Chlorhexidine gel	n	
Lidocaine 200mg/10ml (2%) solution for injection Mini-Plasco ampoules (B.Braun Medical Ltd)	n	
Lidocaine 200mg/20ml (1%) / Adrenaline (base) 100micrograms/20ml (1 in 200,000) solution for injection vials	n	
Lidocaine 200mg/20ml (1%) solution for injection vials	n	
